"流程阶段","维度","正向套利已实现逻辑","反向套利当前状态","反向套利目标设计","风控/旁路要求","主要代码/配置位置","实现状态"
"开仓","盘口恢复","正向开仓前有 orderbook resiliency，观察 spot ask + future bid 深度恢复、spread、basis 稳定、coverage","反向信号监控尚未有完整等价 resiliency；旁路会重新合并单标的盘口","反向开仓 resiliency 应观察 spot bid + future ask 深度恢复、spread、basis 稳定、coverage","反向应建立独立 resiliency monitor，或共享方向参数化 helper，不能复用正向覆盖字段","src/calc/orderbook_resiliency.py; src/calc/reverse_signal_monitor.py","待实现/待增强"
"开仓","最终旁路","正向 _pre_execution_gate 单标的最短链路校验盘口新鲜度、Gate ready、跨所同步、实时 funding、coverage、entry_floor、执行保护","反向 _pre_execution_gate 已做单标的重算和候选复核；execution_enabled=false 时只标记观察态","反向真实开仓前必须校验行情延迟、跨所同步、Gate ready、借币仍可用且额度足够、funding 仍为负、边际盈亏仍>=0、coverage 达标","旁路风控失败写 gate_rejected 与详细原因；不能下单","src/calc/reverse_signal_monitor.py","部分实现"
"开仓","执行订单","正向下单组：spot buy + future sell，走 ExecutorClient -> RealExecutor/VirtualExecutor","反向没有真实下单","反向下单组：Binance cross margin borrow/sell 或 margin sell + Gate future buy；需要记录 order_uuid、spot/future 两腿、借币量、手续费、实际成交基差","执行失败必须有反向 unwind/补偿逻辑，避免裸腿","src/calc/real_executor.py; 后续新增 reverse executor/order builder","待实现"
"开仓","持久化","正向写 mi_trade_signal、mi_trade_order、mi_trade_position","反向写 mi_reverse_trade_signal，未写真实 order/position","反向应新增 mi_reverse_trade_position/mi_reverse_trade_order 或在统一表中加 strategy 字段并完全隔离查询","不要让正向持仓监控误读反向仓位；前端页面也要分 strategy","src/calc/trading_executor.py; src/calc/reverse_signal_monitor.py; src/calc/reverse_signal_logger.py","反向持仓/订单待实现"
"开仓","冷却/降噪","正向有同标的开仓冷却、峰值timeout冷却、拒单冷却、回弹超时冷却、噪音冷却、执行漂移冷却","反向信号监控已有独立 timeout 冷却、旁路/拒绝冷却、噪音冷却；真实执行尚未开启","反向真实执行开启后仍需补真实订单拒单、借币失败、执行漂移的执行层冷却","冷却状态按 reverse namespace 存储，不共享正向","src/calc/trading_executor.py; src/calc/reverse_signal_monitor.py","信号层已实现/执行层待实现"
"平仓","盘口方向","正向平仓：Binance spot bid 卖出现货 + Gate future ask 买回空头","反向平仓指标已计算：spot ask + future bid；无真实平仓执行","反向平仓：Binance cross margin spot ask 买回还币 + Gate future bid 卖出平多","双边盘口完整、coverage 达标、行情新鲜","src/calc/closing_executor.py; src/calc/reverse_arbitrage.py","反向指标已实现，执行待实现"
"平仓","基差方向","正向平仓基差越低越好；收敛利润 = open_spread_bps - close_basis_bps","反向 reverse_close_basis_bps 越高越好，但只用于展示和开仓估算","反向收敛/扩张利润建议 = reverse_close_basis_bps - reverse_open_basis_bps；平仓基差高于开仓越多越有利","反向止盈判断不能套用正向 open_spread - current_spread 公式","src/calc/closing_executor.py; src/calc/reverse_arbitrage.py","反向待实现"
"平仓","止盈触发","正向 fixed_net_bps：基差收敛 + 已收 funding - 全部手续费 >= fixed_take_profit_bps；也支持 legacy_p40","反向无止盈状态机","反向 fixed_net_bps：基差收益(reverse_close - reverse_open) + 已收负 funding - 借币成本 - 全部手续费 >= 阈值","可加入下一期 funding 判断：若下一期仍可收且风险可控，可暂缓平仓","src/calc/closing_executor.py; 后续 reverse_closing_executor.py","待实现"
"平仓","形态确认","正向止盈不是一满足就平，而是等待平仓基差见底后反弹确认或超时","反向无对应逻辑","反向应等待平仓基差见顶后回落确认或超时；因为反向平仓基差越高越好","形态确认参数应独立配置，例如 peak_retrace_pct、monitor_timeout_sec","src/calc/closing_executor.py _pass_valley_check; 后续 reverse peak check","待实现"
"平仓","Funding 风险退出","正向有 negative_funding_exit：当前负费率临近结算/极端恶化或已付负 funding 超阈值时风险平仓","反向无持仓，因此无退出","反向风险退出应对称：如果 funding 转正导致 short spot + long future 需要付 funding，且临近结算/极端恶化/累计已付超阈值，则风险平仓","风险退出可 require_profit=false，但仍必须校验执行质量和盘口新鲜度","src/calc/closing_executor.py _check_negative_funding_exit; 后续 reverse funding exit","待实现"
"平仓","最大资金费次数","正向 funding_payments_count >= max_funding_payments 强制平仓","反向无持仓计数","反向也应记录 funding 收益/成本次数，超过上限强制评估平仓","避免无限持仓暴露借币成本和基差风险","src/calc/closing_executor.py _check_funding_count; src/calc/position_tracker.py","待实现"
"平仓","保证金/爆仓风控","正向 Gate 逐仓 margin_rate 低于阈值触发风险平仓，风险平仓前可自动追加保证金","反向无对应持仓风控","反向需要同时看 Gate long futures 保证金风险与 Binance cross margin marginLevel/借币风险；任一触发进入风险处理","风险平仓 require_profit=false；必要时先尝试追加 Gate 保证金或补 Cross Margin 抵押","src/calc/closing_executor.py; src/calc/gate_position_risk.py; 后续 reverse margin risk","待实现"
"平仓","盘口恢复","正向 close_resiliency 观察 close 侧盘口恢复、spread、basis 波动、coverage","反向没有独立 close resiliency","反向 close_resiliency 应观察 spot ask + future bid，即买回现货与卖出合约的盘口恢复","共享 OrderBookResiliencyMonitor 时必须传入 reverse close coverage 字段","src/calc/orderbook_resiliency.py; src/calc/closing_executor.py","待实现"
"平仓","最终旁路","正向平仓旁路校验盘口新鲜度、Gate ready、跨所同步、平仓VWAP基差、coverage、收敛未逆转、固定净止盈仍满足","反向无真实平仓旁路","反向平仓旁路应校验盘口新鲜度、Gate ready、跨所同步、reverse_close_basis 仍有利、coverage、净收益仍达标、借币还款路径可用","旁路异常是否退化放行需重新评估，反向借币/还币风险更高","src/calc/closing_executor.py _pre_execution_gate; 后续 reverse close pre-gate","待实现"
"平仓","执行订单","正向平仓订单组：spot sell + future buy，future close 可优先 maker，fallback IOC","反向无真实平仓订单","反向平仓订单组：spot/margin buy 回补借币 + Gate future sell reduce-only 平多；完成后 repay borrowed asset","Gate future 必须 reduce_only；Binance buy 成功后还币失败要记录并告警","src/calc/closing_executor.py _build_close_order_group; src/calc/real_executor.py; 后续 reverse executor","待实现"
"平仓","平仓后持久化","正向插入两笔 close order，成功后 mi_trade_position.status=closed，记录 close_reason、close_spread_bps、成交金额与费用","反向没有反向 position close 落库","反向应记录 close orders、repay 结果、reverse_close_spread_bps、borrow interest、realized pnl、close_reason","复盘字段要保留 trigger/pre_gate/actual 三段基差和拒绝/结束原因","src/calc/closing_executor.py _save_close; 后续 reverse position/order schema","待实现"
"风控","交易所 ADL/强平","正向 Gate 私有 ADL/强平事件会标记 desynced 并尝试处理 Binance spot；对账兜底识别 missing/qty mismatch","反向未接入独立持仓，因此无反向 ADL 处理","反向 Gate long futures 也需要监听 ADL/强平；若 Gate 腿消失，要处理 Binance short spot/借币腿，防止裸借币风险","ADL 事件与对账必须按 strategy 区分，不影响正向开仓","src/calc/gate_risk_event_monitor.py; src/calc/reconciliation.py","正向已实现，反向待实现"
"风控","对账","正向 Reconciler 对比本地 holding 与 Binance spot/Gate futures 真实仓位","反向无独立对账","反向 Reconciler 应对比 Binance cross margin borrowed/free/netAsset、Gate long futures position、本地 reverse position","不允许正向 Reconciler 用 forward 账户检查 reverse 仓位","src/calc/reconciliation.py; src/common/strategy_accounts.py","反向待实现"
"风控","资金监控","正向资金快照当前基于 forward 账户","反向账户可通过验证脚本只读检查，未纳入正式资金监控","资金监控拆成 forward/reverse 两套：forward 看 spot+futures；reverse 看 cross margin+futures+borrowed interest","前端菜单正向/反向资金监控分离","src/calc/account_capital.py; frontend/src/views/CapitalMonitor.vue","待实现"
"风控","借币风险","正向无借币风险","反向扫描已读取借币 hourly rate、borrow_limit、maxBorrowable、borrowable","真实反向开仓前需要锁定/复核可借额度；持仓中跟踪利率变化、借币利息、可借状态变化","借币数据缺失/不可借/额度不足不进入交易信号；持仓后利率飙升应触发风险平仓评估","src/exchange_apis/get_binance_margin_borrow.py; src/calc/reverse_arbitrage.py","扫描已实现，持仓风控待实现"
"风控","行情延迟","正向开仓/平仓旁路都用本地 last_update_time 校验 gate/spot lag 和跨所 skew","反向开仓旁路已有 max_orderbook_lag_ms 配置和单标的盘口读取","反向开仓和平仓都必须硬校验 gate_lag、spot_lag、skew；超限直接 gate_rejected/close_rejected","这是下单前最后一道硬风控，不应仅前端展示","src/calc/trading_executor.py; src/calc/closing_executor.py; src/calc/reverse_signal_monitor.py","反向开仓部分实现，平仓待实现"
"风控","盘口覆盖","正向开仓/平仓分别用 open_coverage/close_coverage 与阈值比较","反向扫描已计算 reverse_open_coverage；reverse close coverage 未形成平仓风控","反向开仓 coverage = max(spot bid depth usage, future ask depth usage)；反向平仓 coverage = max(spot ask depth usage, future bid depth usage)","coverage > threshold 不下单；页面过滤与后端一致","src/calc/reverse_arbitrage.py; frontend/src/views/ReverseArbitrage.vue","开仓已实现，平仓待实现"
"风控","手续费","正向按 spot/future open/close fee 与订单实际 fee 记录计算 PnL","反向扫描用全程手续费估算；无真实订单费率记录","反向要记录 margin spot sell/buy、Gate future buy/sell、BNB 折扣、借币利息，PnL 优先用实际成交和实际费用","不要只用静态费率做最终复盘","src/calc/order_fee_resolver.py; src/calc/position_pnl_calculator.py; 后续 reverse pnl","待实现"
"风控","执行漂移","正向记录 signal_basis/pre_gate_basis/actual_basis，用 drift 冷却限制劣质执行","反向信号表已有 signal/valley/pre_gate/actual 字段雏形，但无真实 actual","反向真实执行后也要计算 pre_gate_basis - actual_basis 或方向化 drift，并进入 reverse execution drift cooldown","漂移定义需要按方向处理：正向越高越好，反向开仓越低越好","src/calc/trading_executor.py; src/calc/reverse_signal_monitor.py","反向待实现"
"前端","机会扫描过滤","正向订单簿监控过滤与正向开仓逻辑对齐","反向订单簿监控已有负费率、边际盈亏、盘口、借币等过滤","继续保持页面过滤与后端候选一致；反向不满足前置条件的只在机会扫描显示，不入交易信号","避免页面显示可开仓但后端永远拒绝","frontend/src/views/OrderBookMonitor.vue; frontend/src/views/ReverseArbitrage.vue","反向开仓已基本实现"
"前端","交易信号","正向交易信号记录触发、拒绝、监控、开仓结果","反向交易信号后端分页，记录 monitoring、gate_rejected、monitor_timeout、opened 等；opened 当前表示可开仓观察态而非真实成交","反向真实执行启用后，opened 应表示实际开仓成功；ready/observed 状态需要命名清楚，避免和真实开仓混淆","信号时间是信号产生并判断开仓逻辑的时间，不是实时刷新时间","frontend/src/views/ReverseTradeSignals.vue; src/api/trading_api.py; src/calc/reverse_signal_monitor.py","部分实现"
"配置","正向配置","trade.open、trade.close、trade.resiliency、trade.close_resiliency、trade.funding_carry_open、margin、exchange_risk_monitor","reverse_arbitrage 已有 open_amount、funding_capture、funding_carry、signal、binance_margin","后续新增 reverse_execution、reverse_close、reverse_risk、reverse_reconciliation 配置块","生产配置变更需明确，不影响正向默认","src/config/config.yaml","部分实现"
"实施顺序建议","第一步","正向保持不动","反向已有扫描/信号基础","先补 reverse position/order schema 与反向执行器接口，execution_enabled 默认 false","先虚拟/只读演练，不直接上实盘","新增 migrations + reverse executor","待做"
"实施顺序建议","第二步","正向保持不动","反向开仓 currently ready_to_open 观察态","实现反向真实开仓：borrow/sell spot + buy Gate future + 持久化 + unwind","所有失败原因写入 mi_reverse_trade_signal","新增 reverse_open_executor","待做"
"实施顺序建议","第三步","正向保持不动","反向无持仓闭环","实现反向持仓监控与平仓：止盈、funding 风险、保证金风险、盘口旁路、repay","平仓先支持手动/模拟，再自动","新增 reverse_closing_executor","待做"
"实施顺序建议","第四步","正向保持不动","反向账户已隔离","实现 reverse 资金监控、持仓对账、ADL/强平处理、Pnl 复盘","正向/反向菜单与 API 全部分离","account_capital/reconciliation/gate_risk_event_monitor strategy 化","待做"
